sentence,trigger,event_type,tag
抗议的人们在众议院议员会馆前举行了静坐和集会,集会,10,1092
印航182号班机在1985年6月23日爆炸，坠毁在爱尔兰岸外，机上的329人全部罹难,罹难,1,1070
重新改建的勤务中心是在上午落成启用，由台北市消防局长张伯青以古典方式祭拜祈福,启用,6,1224
多尼斯先生说：他们在这一示威抗议活动中注入了不少的心血,示威,10,1877
从９月份以来，边境地区连续发生武装分子袭击几内亚村庄的暴力事件，大约有近百名无辜村民被打死,袭击,0,849
第三，在这次出访活动中，巴沙尔将阐述他对本地区重大问题的立场和见解，并就这些问题同其他阿拉伯国家领导人交换意见,出访,32,183
黎巴嫩新议会１０月１７日宣誓就职，同一天胡斯领导的现政府集体辞职，成为看守政府,就职,6,330
不久，与朋友相约会面的杰逊来到地铁站，被告和4名同党见他出现，一个箭步冲向他，其中两人对杰逊拳打脚踢，被告和另两名同党则拔出利刀朝杰逊的背部猛刺,刺,0,603
有时候生活中一点小事就体现出来：我的一个小学同学，用爸爸新买的自行车第一次学骑车，摔了一跤，把腿和自行车都划伤了,划伤,24,1937
他们游行的目的是要抗议政府推行的国营企业改组计划,游行,10,1123
据这位首席检察官透露，被捕的贩毒分子是科隆人，今年３４岁，他因为非法经营大量可卡因而被逮捕,捕,27,123
三天后，公积金局的雇主服务执行人员陈日智亲自到李阿娇的住家，帮她办妥了所有的手续,到,32,569
中国人民大学、北京大学、北京师范大学、中国社会科学院、中国青年政治学院以及中国宗教杂志社等学术机构的专家学者20多人参加了座谈会,座谈会,21,1245
条约规定，两国中的一个国家均可要求调审各种重大罪犯，不必再通过引渡手续，使审判过程更快捷、更方便、更有效，有利于两国进一步加强司法领域的合作,引渡,26,958
被判终身监禁的沙里夫目前在阿塔克军事要塞服刑,判,22,762
有人认为，尽管农凯是典型的家族型企业，并不会因为周一个人的入狱使整个企业陷入崩溃，一些人甚至乐观地认为，家族内其他人会为维护家族利益继续打理日常工作,入狱,27,2171
在以巴流血冲突持续近两个月后，１００多名以色列和平倡导者２５日来到东耶路撒冷的巴勒斯坦办事处“东方大厦”，参加一场巴勒斯坦和以色列人面对面的沟通会，为中东和平搭起一座心桥,来到,32,823
去年９月至今年３月，罗曼与１８岁的米哈尔一道，参与数起绑架、殴打、用锐器将人致残事件,致残,24,1011
汉城日报周四引述华府一消息来源称，北韩似乎已从巴基斯坦或某个前苏联国家购进一枚完整的核弹，而这项采购行动显然是想避免核武测试，以免被外界侦测到,购进,2,2007
新华社柏林１０月２８日电（记者刘钢）德国杜塞尔多夫和卡塞尔两地２８日举行大规模的反极右势力示威游行和集会，３万多人走上街头，抗议右翼极端分子的嚣张气焰,游行,10,28
拉胡德当天向所有１２８名议员征询意见，其中１０６名议员提名哈里里为新政府总理,提名,23,248
他说：这一情报的可能性还不能证实，但是在美国停泊在也门的科尔号驱逐舰遭到致命攻击以后，这位发言人（21：26至21：28）慎的,攻击,0,1572
中国当地一些资本匮乏的券商实际上早已经破产了,破产,19,2235
经济不景气连庙里头的香油钱都有人要偷，一名男子就在台北市东区的一间公园小庙里借上香拜佛的名义，趁四下无人，向神明偷拿香油钱，不过他才偷了100块就当场被人发现扭送警察局,扭送,32,1682
另据报道，欧盟负责外交和安全政府的高级代表索拉纳１１号下午抵达开罗，与埃及总理穆巴拉克举行会谈，为解决巴以危机、拯救和平进行了外交斡旋,抵 达,32,1468
如果国家需要也可以召她们回国效力,回国,32,875
另外许运宏还要求中国银行宁波分行等单位为经营不善的宁波五洲有限公司分别贷款、借款共计人民币2500多万元、美元540万元，全部贷款和极大部分借款因五洲公司资不抵债无法收回,贷款,4,1838
而为了延续商机他预测，大中华地区的网站间的合并动作将会持续下去,合并,16,1868
"俄罗斯总统弗拉基米尔--普京(VladimirPutin)在德国发表讲话时表示：""我们不排除中油集团参与已拍卖的尤甘斯克(Yuganskneftegas)的生产",拍卖,2,1919
朝鲜战争是一场不对等的战争，炝面加步枪的志愿军面对武装到牙齿的敌人，毛泽东主席说的好：‘志气比我们低，是铁多气少，士气出战斗力出英雄壮举’,战争,0,1686
同时，美国国务卿奥尔布赖特说：“以巴双方原则上同意在暴力冲突结束之后，派遣谈判代表前往华盛顿，以重开中东和平谈判,冲突,0,1734
根据香港《星岛日报》今天的报道，中共元老姬鹏飞的儿子原共军总参谋部情报部部长姬胜德因为涉及贪污日前在北京已经被军事法院秘密判刑15年，由于判刑过轻引起了大陆司法界的反弹,判刑,22,372
一架从基隆坡飞往台北的长龙班机昨天晚上飞抵中振机场之后，由于机场跑道上有异物，结果导致了起落架卷定了轮胎械，引起了一阵虚惊,飞往,32,1313
10天前船上的轮机长被大陆的渔工打死，船长也被殴打，并且连人带船被胁持到大陆,打,0,1204
比喻也不是那么恰当，但是有些包容的精神...有时也想做个liberman，单身过一阵，或者以后再找个别的，好像很多伟人都结婚多次，呵呵,结婚,5,1982
马英九原订：十一日前往香港大学，演讲「从台北看华文城市的兴起」，十二日上午出席「台北好好玩」台北观光推广活动，十二日下午访问香港科技大学，与学校师生座谈，十三日上午应旅美华人团体「百人会」之邀演讲,座谈,21,2180
"""白麻子想动手了，后被拉住，没打起来",动手,0,2037
高雄县詹明志遭人勒索弃尸案，警方今天有重大的突破，逮捕了两名嫌犯,逮捕,27,1336
小布什在最近的计票结果中只胜537票，如果戈尔在上述两项起诉中任何一项获得胜诉，戈尔也可能在佛罗里达州获胜，得到该州的25张选举人票，成为下一任总统,成为,3,229
当电话那边的母亲叮嘱她努力争取第二枚金牌时，徐红艳说道：“妈，您就放心吧,电话,15,834
另外，前拉奥政府的内阁部长布塔·辛格也在此案中被判处３年监禁，并被罚款２０万卢比,判处,22,1099
民意测验表明，利库德集团现任主席沙龙比巴拉克的支持率低，但内塔尼亚胡却比巴拉克的支持率高出19个百分点，内塔尼亚胡在去年大选失败后辞去了议员职务,辞去,31,1346
“到平潭去,到,32,335
其中在03年11月底，一名19岁一年级生疑在图书馆新翼低座1楼女厕偷窥被捕，经审讯后罪名不成立获释,被捕,27,2234
美国佛罗里达州最高法院当地时间7号上午10点，开始就民主党总统候选人戈尔对佛州选举结果置疑案提出的上诉举行听证会，但是法院没有就此案作出裁决,听证,29,1911
刑事局侦察科科长高政生表示，虽然海基会还没有接获大陆海协会通知，有关杨光南等黑社会分子在上海遭中共公安逮捕的消息，但是今后刑事组透过私人管道查证，已经证实杨光南在上海被捕,被捕,27,1393
”在画面上所看到的是昨天500多名的示威民众到立法院长王新平凤山服务处抗争的场面，还引起了流血的冲突，不过支持王新平的团体下午也将发动2000人到现场声援，对于新政府才运作不到半年，经济和政局就一直纷纷扰扰表达严正的抗议，警方也将严阵以待希望双方的人马不要擦枪走火,冲突,0,1180
在东海村核灾事故当中3名现场作业员以钢桶将多达16公斤的过量油燃料注入沉淀槽而引起了临界反应，3个人遭到大量幅射线的照射，有2个人在医院丧生，唯一生还者恒川后来出院回家，这起事故造成了至少439人遭到幅射照射，并且迫使临近地区的32万名原著民躲在家中避难长达1天以上，目前东海村油燃料加工厂仍然维持关闭的状态,照射,24,1165
另外澳门特区政府在推动本地旅游业复苏方面也做了大量工作，行政长官何厚铧一年来先后访问了法国、葡萄牙、日本、新加坡、香港等国家和地区，并与相关国家签定了相关航空等协定协议,访问,32,1859
美国总统布殊将于２月访问德国并与施罗德会谈，伊朗和伊拉克问题将是双方会谈的重点,会谈,21,1968
陪同江泽民出访并同机离开深圳的有：江泽民主席夫人王冶坪，国务院副总理钱其琛和夫人周寒琼，中共中央书记处书记曾庆红，国家发展计划委员会主任曾培炎，中央政策研究室主任滕文生，中央办公厅副主任、中央警卫局局长由喜贵，江泽民主席办公室主任贾廷安，外交部部长助理王毅等,离开,32,1138
在被问到是否会允许核查员回到帕钦时，伊朗首席核子协商者之一穆萨维恩(HosseinMousavian)说：「我不排除这点,回到,32,482
"因为简约有言在先，7点才能到，于是四人围着桌子四边开始""市民论坛""历史上的第一次代表大会",大会,21,436
刘昌伟等即到内江雇佣杀手伺机下手,到,32,5
真主党对于是飞弹攻击以色列的奇巴农场区域，并且狭持了3名以色列士兵,攻击,0,1791
上海公安顺势将他们一网成擒，杨光南也成为不受欢迎人士，遣返出境到澳门,到,26,1396
美国参议院以８５票赞成、１３票反对，通过由赖斯接替鲍威尔担任国务卿,担 任,3,420
当局至今并没有拒绝台北市市长马英九的来港申请,来,32,2176
下午3时事发黄克竞楼案中两名女学生分别姓周(24岁)及姓陈(20岁)，她们与男子纠缠时，分别被咬伤手腕及被击伤左眼，幸无大碍，毋须送院,咬,0,2230
愤怒的巴勒斯坦人向以军警投掷石块和汽油弹，并抢占了附近以警察局,抢占,32,668
今年５月１２日，两国军队再次爆发大规模冲突，在非统组织的斡旋下，两国分别派出代表于５月３０日在阿尔及利亚开始间接谈判，并于６月１８日签署了停火协议，从而结束了两国因领土争端而引发的战争,冲突,0,303
姐也要结婚了，家里正在大肆准备,结婚,5,1948
（今日新闻）交叉结伙作案１４起　运送偷渡分子５３８名,运送,32,575
老爸也是说到做到，第二天，我又到珠江路另一家公司打工，是一家著名的大公司呀,打工,3,2028
米洛舍维奇被迫逃离贝尔格勒，获胜的反对派塞尔维亚民主反对联盟6号早上成立危机处理委员会，负责监督权力转移事宜,逃离,32,1669
他认为陈总统在这个时候要特赧因为工运而入狱服刑的曾冒兴很可能有特殊含义,特赧,7,1490
他还允诺，德国愿意为缓解冲突做一些实质性的事情，包括解救前不久在黎巴嫩被绑架的以色列士兵和接收部分巴勒斯坦伤员等等,冲突,0,102
警方布线多日，凌晨逮捕到了抢匪赖俊明并且起出他犯案的枪支以及还来不及销赃的大批手机,逮捕,27,1330
他在哥本哈根接受记者采访时说，中国基督教协会以往尽管与丹麦的一些基督教组织有来往，但正式派代表团访问丹麦，这还是第一次,访问,32,649
新任阁魁张俊雄则是多次肯定唐飞不计个人得失的贡献和付出，并且频频向唐飞鞠躬致敬,新任,3,1628
张家荣被人送到医院的时候包括肩部、腹部和右腿都被刀砍伤，其中肩部伤口最深，幸运的是没有伤及动脉，急救后没有生命危险,送到,32,1173
9号一架载有英国工党议员乔治·卡洛维的英国飞机飞抵巴格达,飞抵,32,1819
这对家属而言，公祭现场家属们抱怨，救难人员似乎到的太晚，而原本该转院的也牺牲了性命，只不过这一切似乎都为时已晚,牺牲,1,1799
两岸于本月稍早在澳门签署历史性协议，同意双方的航空公司于1月29日至2月20日间派出48个航班，载运在中国的台商与家属返乡过农历春节,返,32,1959
王新平基于礼貌还写了一封文情并茂的信向总统说明不去原因，在野的三党一派立委手拉着手彼此加油打气，心中共同的目标就是倒戈和罢免,信,15,1550
在这次节目中我们将向您介绍：在约旦河西岸一个犹太人定居点附近，已故的以色列极端主义领导人卡哈内的儿子一家乘坐的汽车遭到袭击；台湾中总统陈水扁在《元旦文告》中提出将建立新机制来处理两岸关系；在台湾方面加紧准备小三通首航的同时，台湾一个由40名立法委员以及专家组成的代表团将访问中国大陆商讨实现三通的技术性问题；非律宾首都马尼拉12月30号发生的多起炸弹爆炸事件中的伤亡人数有所上升,故,1,1513
新华社安曼１１月２１日电（记者鲁绍明）约旦国王阿卜杜拉２１日谴责以色列对巴勒斯坦人民实施的暴行，认为这一侵略行径给本地区的安全与稳定造成了威胁,暴行,0,901
国家体育总局昨天突然宣布，把奥运跳水金牌选手田亮开除出国家跳水队,开除,31,2263
等我再长大了一点，我们的年青朋友到这里来跳舞，现在这条各位等一下可以滚大球的大马路就变成了凯达格兰大道,到,32,1546
一人坚守阵地三昼夜，歼敌100多人，最后用石头和敌人搏斗的孤胆英雄赖永哲,歼,1,1690
另据报道，印度东北部阿萨姆邦的武装极端分子星期四晚制造了多起流血事件，共造成16人丧生，其中包括10名不丹商人和一名尼泊尔商人,流血事件,0,1050
这一判决引起民众的强烈不满并导致了支持和反对者间的流血冲突,冲突,0,39
巴拿马工商部长华金·哈科梅在讲话中回顾了中巴两国之间的经贸往来，介绍了巴拿马增加出口、吸引投资等经贸政策，并希望有更多投资者来巴投资,来,32,296
今天晚上胡瓜就会回到台湾，或许就能够有答案,回到,32,1380
信息中心指出：按照和平奖的提名准则有7类人士可以提名候选人，当中包括了各国议员及大学政治、法律、历史、哲学教授，而且人数不得少于10人，目前提名的人数已经超过了30人，所以相信李洪志肯定可以成为角逐下个年度“和平奖”的热门人物，由于提名规则不准透露提名人的姓名，所以这些人的资料相关人士表示暂时不公布,提名,23,1296
这样的言判也得到了证实，被害人的脑部有两处重击，脑浆外溢,重击,0,1721
一些老队员下来后也可以考虑到国外打打联赛，这样也可以延长她们的体育寿命,到,32,874
在三星阅仪队的带领下一支可爱的化妆队伍浩浩荡荡的从明泉国小出发，上千位师生精心装扮成各种动物和昆虫的造型，沿着明泉路快乐的行进,出发,32,1251
连云港市中级人民法院今天还一审分别判处“蛇头”陈守汉、史春平有期徒刑４年，分别判处“蛇头”王月兵、万培成有期徒刑２年、１年,一审,29,582
“和我太太能参加这次活动，那那次活动在水里面的感觉，参加这个婚礼是很好的婚礼，然后让我一辈子可以永生难忘,婚礼,5,1559
中国国资委日前在网站上公布，将对中央级国有企业收购活动进行专项检查，内容包括检查国企境外收购活动在上报其他政府部门批准前，是否曾报经国资委同意,收购,2,2129
新华社吉隆坡１２月７日电（记者吴定保）马来西亚吉隆坡高等法院７日宣布，判处６名“奥马乌纳”邪教组织成员每人１０年徒刑,判处,22,835
桃园市警局督察制度维新小组凌晨以迅雷不及眼耳的速度，进去突击检查，并且控制所有的出入口，将所有的小姐和男客一网打尽,一网 打尽,27,1269
68岁的家庭主妇惠美子头部严重受伤，其他受害者伤势不严重,受伤,24,859
佛光山3年半的封山岁月只因为阿扁总统上午的到访而有了戏剧化的转变,到访,32,1794
对于智利最高法院新的决定，皮诺切特诉讼案的控方律师普遍表示惊讶和不满,诉讼,8,735
恋爱经过：1995年杨振宁和已故的妻子出席了在汕头大学一次国际物理研讨会，杨振宁和翁帆第一次见面,已故,1,2205
虽然国家队运动员没有薪金，但由于出色运动员每多同时兼有省级运动员身份，所以亦可每月获发薪金，同时可以代表国家出选世界性的比赛如奥运会，若该运动员取得第一名，可获发二十万元奖金，另外还有商业机构的赞助及成名后难以估计的利益,发,4,2086
」99年警用胡椒喷雾杀人甘达拉承认，他初时曾打算服从警员的命令，但后来不知为何便与他们争执,杀,1,2198
巴沙尔选择埃及作为上台后出访的第一个国家，显然用意颇深,出访,32,184
发言人说：“如果印度军人没有停止在克什米尔的暴行以及从那里撤退，我们将随时随地袭击印度军队的总部、军营及其他军事设施,撤退,32,1049
值此阁下就任罗马尼亚政府总理之际，我谨代表中国政府并以我个人的名义向阁下表示衷心的祝贺和良好的祝愿,就任,3,1032
日本东芝公司总裁冈村表示，他看不出并购IBM个人电脑业务对联想有什么好处,并购,2,1944
不过这名男子在被救上岸时脸色苍白、全身浮肿，经过现场急救还是回天乏术，根据车牌查证确定这名男子是今年55岁的郭荣，初判定可能是因为对当地路况不熟，加上车速过快才会失控冲入大排水沟,冲入,32,1418
”滕春燕是在中国受到审判的第一个海外“法轮功”信徒,审判,29,1591
陆军总司令伊苏列塔２日与一批高级将领举行了５小时的会议,会议,21,631
巴勒斯坦自治政府否认和加沙走廊20号清晨造成两名以色列人丧生的炸弹攻击事件有关，并且表示将对这起攻击事件展开调查,丧 生,1,1398
”63岁的埃斯特拉达今天并没有出席，他面对贪污、违宪、有负民众所托等指控声称自己是无罪的，警方出动了大批警力将参议院外数千名支持埃斯特拉达的群众与反对群众隔开,指控,13,1778
”歹徒行凶后立刻被法警制服，原本打算替他制作笔录，但歹徒精神恍惚疑是吸食毒品，于是法警通知刑事组将他带回，并送往台中医院做药物检查,行 凶,0,1612
新华社北京１１月７日电中央军委委员、中国人民解放军总政治部主任于永波一行结束了对美国的正式访问，今天返回北京,访问,32,255
在为时一个多小时的听众会上，佛州最高法院的七名法官听取了戈尔和共和党总统候选人布什双方律师的辩诉，戈尔的律师要求佛州最高法院推翻立昂县循回法院4号作出的，否决戈尔证明对佛州大选结果提出的置疑判决，立即开始清点棕榈滩和迈阿密戴德县的14000张有争议的选票,听众,29,1912
坚守阵地8个小时的三连勇士们，牺牲后仍然保持着各种搏斗姿势，有的抱住敌人的腰，掐住敌人的脖子，有位烈士手中手榴弹上沾满敌人脑浆，有位烈士嘴里叼着敌人半块耳朵，他们脚下是300多具敌人尸体,抱住,0,1688
泰勒是３日抵达尼日利亚的,抵达,32,984
此前，代表团访问了瑞典，与该国基督教界人士进行了广泛接触，并就加强相互合作达成了不少共识,访问,32,652
风筝想要飞得高，线当然要放的长，五颜六色的风筝比高比远，有的就象是跟松山机场起飞、落地的飞机同步飞行,起飞,32,1428
台北县新店一家超商凌晨遭到了歹徒持刀行抢,行抢,0,1492
这封传到媒体的黑函，没有具名也看不出传真来自何方,函,15,1479
刚果（布）文化部总司长雅克·琼哈特说：“我们刚果（布）和几内亚的国家歌舞团都为能来这里参加中国艺术节而感到由衷的高兴,来,32,331
台湾总统陈水扁周二正式对外宣布，指定高雄市长谢长廷为新任行政院长，谢长廷将负责筹组新内阁,指定,23,1999
美国参议院２５日就赖斯的提名举行了１天的听证会，并在２６日进行投票表决,提名,23,455
以齐怀远为团长的中国人民对外友好协会代表团和正在此间访问的中共代表团也应邀参加了大会,访问,32,254
有车的人也不好受，花了N万元，买了辆车，虽然是为汽车产业做了贡献，还为政府财政纳了税，可开车上街到处走不动，几乎和爬一样,上,32,2218
当然对外资进入中国的增值电市场，我们已经在中美会谈当中，在中英的会谈当中都作出了承诺,会谈,21,1451
（拉姆安拉西岸法新电）据一家巴勒斯坦经济组织消息，因为以色列关闭了发生暴力冲突的西岸和卡萨地带，使早已脆弱不堪的巴勒斯坦经济更加恶化，损失了将近5亿美元，几乎濒临崩溃的边缘,冲突,0,774
赵明录此次作为金正日的特使访问美国，具有非同寻常的意义,访问,32,933
古巴足球协会主席路易斯·埃尔南德斯希望古巴的球队，而不是个别队员，能够到法国进行比赛、观摩学习,到,32,520
巴勒斯坦人持续以石块攻击以色列的部队，以军则是还以催泪弹、橡皮子弹甚至是实弹，结果又造成两名巴勒斯坦青年丧生，10多人受伤,攻击,0,1698
新华社乌鲁木齐１０月８日电（记者孙彬）“奥运健儿祖国西部行”代表团今天中午飞抵新疆乌鲁木齐,飞抵,32,126
内蒙古民族歌舞剧院是由内蒙古歌舞团和内蒙古民族剧团联合组建的，这两个文艺团体合并后可以优势互补，更好地代表蒙古族歌舞艺术的水平,组建,16,688
台北市的奎建中学上百位师生上午一早就浩浩荡荡的在石台地区展开了游街的活动,游街,32,1723
埃斯特拉达被控的罪名包括了接受非法赌博业者几百万美元的贿赂，侵吞烟草税款，图利特定事业和安插亲朋好友在政府单位任职等,控,13,1777
中国指控42岁的赖昌星是90年代初在厦门港进行了总值等于60亿美元走私案的主谋，他走私的物品包括轿车、奢侈品、香烟、石油和原材料,指控,13,285
１１月２４日凌晨，数十名武装恐怖分子袭击了金边火车站、金边电台和电视台、首相府及国防部,袭击,0,291
根据香港的中国人权名誉信息中心在今天透露美国及英国等地超过30名议会议员以及大学教授已经提名法轮功创办人李洪志和他的弟子角逐公元2001年“诺贝尔和平奖”的候选人,提名,23,1295
两岸春节包机第二度协商，明天下午在澳门航运大厦登场，预料将商谈双向、对飞、不中停与多点开放等议题,协商,21,2126
英国受害者的家人已提出几起有关疯牛症的诉讼，但他们把焦点集中在过失罪，而不是杀人罪上,诉讼,8,170
他们在会谈之后就南斯拉反对党领袖科什图尼察上台发表了联合声明,会谈,21,1053
洪森还呼吁美国和法国遣返居留在这两个国家的“自由高棉运动”头目春亚仕和伊松，以协助柬埔寨消除恐怖主义活动,遣返,26,290
新华社圣地亚哥１２月２６日电（记者侯耀其）智利最高法院２６日作出决定，要求专门负责调查和处理皮诺切特诉讼案的古斯曼法官在对皮氏进行正式询问之前，应先安排这位现年８５岁的前军政府领导人作健康检查,询问,29,732
据了解，通过这一机构取得良好的社会效果是山东省德州市临县和江苏省彝黄县，当地政府官员表示，由多个办事部门共同组成的司法调整中心成立仅1年后，就快速有效地为农民调解各类纠纷1500多起，结案率达到95%，同时找上级政府告状的案件下降了65%,成立,6,1663
由于‘月之海’已经宣布年底前要解散，所以使得这场台湾告别演唱会吸引了无数的年轻歌迷,解散,28,1241
抢完了这边，另外一边的收银机他也不放过，甚至就在他快要离开时，一块钱的铜板也要吃干抹净,离开,32,1496
自从美国前国防部长佩里去年５月访朝后，双方开始着手就两国关系中悬而未决的问题进行谈判并取得进展,访,32,930
另外还有中共、南韩、日本形成东亚政治经济团,形成,6,1579
经过半年多的疗养和治疗，马拉多纳的身体情况大有改善，体重也减轻不少，与刚到古巴时萎靡不振、体态臃肿相比，像是换了一个人,到,32,525
"不知那家店主是真的去其它国家比较过,还是有人做过研究得出的结论，或者根本就是自己感觉特NB，故步自封了一把，还写进了本地的旅游指南",去,32,2031
新华社加沙１０月１６日电（记者马晓霖）以色列军队１６日晚在驱逐了巴勒斯坦工作人员之后，单独控制了连接加沙地带和埃及的拉法海关，,驱逐,32,503
菲军方说，从９月１６日以来政府军共与阿布沙耶夫武装交战４０次，击毙反政府武装分子１１７人，击伤４９人，俘虏５３人，同时还缴获了一批武器装备,交战,0,844
他说，商会的成立将为中巴两国的经贸关系的进一步发展、为增进中巴两国人民的友谊起到积极作用,成立,6,295
韩国电力公司的数百名反对把公司买给外国买家的工人，也加入游行队伍,买给,2,1133
美国当选总统布什昨天宣布了其新政府的第一位内阁成员人选，任命前参谋长联席会议主席鲍威尔为国务卿，如果这一任命获得参议院批准，鲍威尔将成为美国历史上第一位黑人国务卿,任命,3,1333
经济和贸易部长马斯里说：“人们纷纷到银行去提款，经济隔离是一种集体性惩罚,到,32,777
当电话里传来表姐充满责怪的声音的时候，他突然觉得非常愧疚，怎么会不赶过去参加表姐的婚礼呢,电话,15,2164
１２月２２日中午，河外边防工作站一执勤点战士在对一辆挂外籍牌照从境外方向驶入的吉普车进行边防检查时，发现驾驶员神色十分慌张,驶入,32,870
此案发生后，四川省公安厅和资阳地区公安处及相邻地市公安机关投入大量警力侦破此案，经过公安机关近一年艰苦侦破，涉案犯罪嫌疑人大部分落入法网，潜逃在外的余茂学也被公安机关抓获,落入法网,27,8
至于在伙食方面，省队与国家队的分别更大，如广东省的跳水训练中心，运动员需起码曾夺全国赛冠军，才可以进入一所名「冠军楼」的地方用膳，未夺过此级数的运动员则只可望门兴叹,进入,32,2087
为了孩子数次推掉出国公干　他说：“她是大约三年前加入摩托罗拉公司,加入,3,965
等他更长大了一点，总统府前广场路大地宽，是示威、抗议的好场所,示威,10,1544
由于这场大火来得太突然，祖孙三人虽然想要逃，没想到才跑到楼梯间就躲不掉了,跑到,32,1738
他提出了解决巴勒斯坦危机的４点方案：让所有巴勒斯坦人返回家园；让他们就自己的未来国家问题举行全民公决；建立以耶路撒冷为首都的独立国家；由巴勒斯坦国决定巴勒斯坦人事务,返回,32,783
警察闻讯赶到现场予以制止，向冲突双方施放了催泪弹,施放,0,893
皮诺切特诉讼案的控方律师团同日下午宣布将向智利最高法院提起上诉，要求驳回圣地亚哥上诉法院的裁决,上诉,25,800
新华社华盛顿１２月２０日电（记者胡晓明　汤水富）美国当选总统乔治·沃克·布什２０日宣布了美国下届政府财政、商务、农业以及住房和城市发展部部长提名,当选,17,752
基隆兴万昌渔船昨天晚上出海作业时突然在基隆外海因为冷动机突然发生故障而罹难，结果造成1名台籍轮机长和3位大陆渔工眼睛受伤，还合并有呕吐现象，不过当时渔船已经失去了动力，受伤的人员只能在渔船上等待救援,受 伤,24,377
科什图尼察并且在1990年初期加入反对运动，然后在1992年成立塞尔维亚民主党,成立,6,1673
内部人士说，澳洲电信并没有积极向外推销香港移动通信，但如果它能够收回收购这家香港公司的大部分投资，它将考虑与买家接洽,收购,2,466
“他有酗酒，然后我们送到一分局以后，一分局觉得他可能有食用某种药物,送到,32,1609
总统府在昨天晚上的9人小组会议当中，决定要对工运人士蔡冒兴等三件案子给予特赧,特赧,7,1487
新华社北京１１月２４日电（段颖　孙玉波）记者今天从北京海关获悉，１１月２０日上午１１时１０分，随着两名涉嫌通过邮政快递渠道走私毒品的台湾籍犯罪嫌疑人－－简志仲和李金正在北京朝阳小区的家中被抓获，一起邮寄毒品案已被北京海关破获,抓获,27,696
各流域水功能区划成果报告经专家座谈讨论后，有关部门将组织全国水功能区划汇总报告的编制，提出全国水功能区划，经水利部通过后报国务院审批,座谈,21,20
消息人士说，沙里夫的妻子和岳父，以及他正在服刑的弟弟将陪同沙里夫流亡，他的弟弟因相关罪名被判入狱,流亡,32,766
毒品运全球美零售额逾78亿被起诉的8名华人分别来自两家人，包括魏舒康、魏舒龙、魏舒英、包玉生、包华江、包玉毅、包玉亮和包玉华，均出生于中国大陆，现居于在缅甸,运,32,2071
当晚，居住在拿萨勒市东北郊拿萨勒镇的数百名犹太人来到拿萨勒城东的阿拉伯人居民区肆意闹事，向当地阿拉伯人的住所投掷石块并放火焚烧了一些房屋，导致当地的阿拉伯居民与闹事的犹太人发生大规模冲突,冲突,0,892
经过将近半年的治疗，现在决定回家,回家,32,1299
这架从墨西哥城起飞的客机在机场降落时，飞机偏离跑道冲上机场旁边的公路，撞翻过往车辆并冲毁路边四间民宅，最后停在附近的一条灌溉渠中，机身被撞成两截,冲上,32,1027
在烽烟滚滚的战场上，每天都有无数英雄故事诞生，除了人们熟知的杨根思、黄继光、邱少云，还有带领2名战士打退敌人41次进攻、歼敌280人的胡修道,进攻,0,1689
越南国家主席陈德良将在12月15号到29号访问中国大陆，双方将发表在新世纪全面合作的联合声明，中共并且期望和越南正式签署《北部湾划界协定》以及双方《渔业协定》,访问,32,1384
依照菲律宾采取的美国式政治体系，只要参议院22名议员当中有2/3投票通过这项弹劾案，埃斯特拉达就必须要下台,下台,31,1779
南斯拉夫新总统科什图尼察访问波黑首都萨拉热窝，这是波斯尼亚战争以来南斯拉夫国家元首第一次做对波黑进行这样的访问,访问,32,1830
无事佬给简约发短信，简约回复，稍后即到,发短 信,15,435
华融资产管理公司有关负责人表示，对债务人进行债务追索和申请破产清算是资产管理公司处置资产的重要方式,破产,19,559
沙里夫可能流亡沙地　沙里夫的妻子库尔苏姆说，沙地阿拉伯的官员就沙里夫的前途进行了冗长的谈判，不过她不知道谈判的结果,流亡,32,764
许运宏还指示有关部门，要求《宁波日报》社以人民币1.8亿多元，购买存在严重质量问题的办公大楼，造成这座办公大楼至今无法使用的严重后果,购 买,2,1837
据当地媒体报道，阿卜杜拉在与巴勒斯坦民族权力机构主席阿拉法特进行电话交谈时表示，约旦坚决站在巴勒斯坦人民一边，并向他们提供一切必要的物质援助,电话,15,902
到静岗内的时候，从车窗看到了闻名已久的富士山，孤孤单单的耸立在地平面上，让人甚有一种寂寥的感觉,到,32,2247
4人分别以自己的行为不构成犯罪为理由提出上诉,上诉,25,1765
而他们对孙子孙女的出生年月日则都记得很清楚,出生,11,727
再后来，铁路出大事故，撞死了好多日本人，丁部长的位置干不成了，被迫辞职，因有桥牌基础，被降为政治局委员，中宣部部长（越降越大），现在还在任,辞职,31,2124
控方昨日向大法官陈词说，被告和同党带刀到地铁站埋伏等候伤者，在众目暌暌下围袭伤者，导致他重伤倒地，这起伤人案显然早有预谋,围袭,0,606
在会谈举行2个小时之后奥尔布赖特和金正日两人曾经休息了10分钟，因为会谈的时间超出预计的时间,会谈,21,1387
加拿大逮捕远华案主嫌赖昌星,逮捕,27,1581
12月27号上午逃跑的4名电焊工被公安机关全部抓获，犯罪嫌疑人对其违法事实供认不讳,抓获,27,390
此次中东之行旨在表明德国以及欧盟对推动中东和平的“强烈兴趣”,行,32,62
近来，因共和联盟主席瓦塔拉被取消参选资格，科一些地区发生了冲突，北方一些地区的局势相对紧张，有人提出要把北方从科分裂出去,冲突,0,1022
