tag,sentence,trigger,event_type
878,"You know, if he if he made peace he had factions of his own people that would've killed him -- and if he didn't make peace, eh, then he's considered, you know, the the warmongering, uh, man who won't make peace, you know.  So, he, uh, he couldn't really win. I don't think he could make peace.  I don't know if anyone else can, either.",killed,Die
879,"Yeah.  Well, I I don't remember who they sent, but they did send over some very -- low level state department person",send,Transport
880,"And, uh,  it would've -- gone an- a little farther to encourage them to, you know, be willing to sit down at the table with us, at least, you know.",sit down,Meet
881,"But, uh, at at least for the ceremony in Egypt I think, uh,  I can understand that no one would want to go into -- Palestinian territory. I mean,  they it was total chaos there.",go,Transport
882,"10. Death of Arafat (2) PLO leader PLO leader Yasser Arafat died in a Paris hospital last week, after a lot of controversy surrounding his illness and death.  What do you think caused his illness, and could it have been something malicious (like poisoning)",Death,Die
883,What do you think of Israel's policies surrounding Arafat's illness and death,death,Die
884,"Yeah, okay, um, ((lot of question)) -- and, um,  I- I don't think it was poisoning, even though I haven't read -- a lot of articles about it. I think-",poisoning,Die
885,"He's- I mean, like, you know, let's- i- -- for- for all he did in his later years, eh, Yasser Arafat was responsible for -- a good chunk of al- you know, a lot of -- Israeli dying -- i- you know.  He basically, eh, i- I'm completely torn on the whole thing. I mean, on one hand -- I think it was kind of wrong that -- that -- you know, the ~UN just kind of went in and said, hey, you know, guess what",dying,Die
886,"Well, in other words eh, in other -- when -- after World War Two when they when -- basically the state of Israel was formed",World War Two,Attack
887,"Um,  you know, you- e- -- granted, you know, there were there were Jewish people already living there,  but -- all the Jewish people started going there and they j- basically just- you know, they just took over.  And- and",going,Transport
888,"there it goes,  you know, thous- it's like the Hatfields and the McCoys. They're fi- they don't even know why they're fighting anymore. They just they hate each other -- and they're always going to hate each other -- and it doesn't matter who started it,  but -- i- you know, somebody eh, th- somebody's in always intent on winning.  And it's and it's it's you know,  a war of attrition. Nobody wins. It's either, you know,  you may kill me, but I'm going to kill all of you before- y- you know what I mean",fighting,Attack
889,"So, let us let us not forget that when Israel was -- formed -- and they were,  um,  the -- the Israelis for not feeling -- like they had a legitimate -- right -- some of the land or that -- land wasn't, um, rightfully theirs. There were -- two very strong -- militant groups that were Israeli and they -- committed a lot of terrorist acts,",acts,Attack
890,"much -- Yeah.  So, I mean, i- -- you know,  uh, how we consider -- Arafat a terrorist,  we also should consider that -- could've been, in some ways, a reaction to some of the terrorism that was -- initially -- committed by the Israelis.",terrorism,Attack
891,"But if Arafat hadn't been I don't know if he's -- directly -- been linked to Hamas' acts,  uh,  but he was put in a -- pretty -- sticky situation having to negotiate -- the militants of -- Palestine -- the international leaders -- and if it if Hara- Arafat hadn't -- somehow appeased -- the Hamas groups or the Palestinian militants,  then -- he would've been kicked out,  overthrown -- by- -- by the Palestinians.",overthrown,End-Position
892,"Oh, forget about kicked out or overthrown, he would've been killed. That's-that's how it works over there.",killed,Die
893,"He was he was basically -- I mean, I've read I've read articles an- and- and- and -- stories that basically have linked him to the to the to the Munich -- massacre -- th- you know, the Munich Olympic massacre th- the Is- the Israeli team. It- -- the the problem is -- what he did -- back way back when",massacre,Attack
894,"10. Death of Arafat (2) PLO leader PLO leader Yasser Arafat died in a Paris hospital last week, after a lot of controversy surrounding his illness and death.  What do you think caused his illness, and could it have been something malicious (like poisoning)",died,Die
895,What do you think of Israel's policies surrounding Arafat's illness and death,death,Die
896,"Well -- I, uh, I don't think there was anything malicious, uh, in terms of his death -- uh, just looking at him these last, uh, couple of years uh, it seems like he had Alzheimer's or something.",death,Die
897,They were doing all these talks in Camp David and and it should have just continued when Br- Bush came into office.,came,Start-Position
898,"I mean, their policy toward him didn't get them anything.  And then you got suicide bombing on the one side, and then you got Israel -- you know, it's like one day, you'll he- a bomb will go off, the next day Israel will do and air strike and -- you know, it's like going around in a circle.",bombing,Attack
899,"my family's, uh,  parents are deceased and most of ((them)) is, uh, passed my brothers all over, so her family's still younger -- and, uh, you know, just the odd sides. She's the oldest and I'm the youngest, so she's got younger which -- keeps the thing going, so I- -- you know, my view is -- ((stay)) with the family go visit the family. That's all you got.  So -- keep it together through thick and thin and -- when it comes to Thanksgiving we go up there and we celebrate.  And then there's little parties.  Big- uh, her sister does a big family party -- but try to keep that same",go,Transport
900,to go out of the country as part of our New Year's,go,Transport
901,"Um, actually, usually we're out of town so we don't attend our church.",out,Transport
902,Your gran- you go to your grandma's house.,go,Transport
903,"Yeah, that's what we do.  Every year,  uh, but I don't always attend. Uh, my family -- celebrates the sun shining. They're always together. So, uh, it's not particularly special at Christmas -- because they see each other every other weekend.  But, still,  uh, they go to, uh, grandmother's -- every Christmas.  A particular person's house every holiday season.  You know, whether it's Christmas or -- Thanksgiving or Mother's Day or Easter,  it just alternates it- you know, each- uh, a particular person's house is- is how they do it.",go,Transport
904,"that was nice.  Um,  uh, it was- it was a good day.  Uh, but, you know, we- we -- spend all day together.  It's not like you just go and eat dinner a couple of hours and go home.  You go and you stay twelve hours -- because most of my relatives live within thirty minutes of each other,",go,Transport
905,Do you travel to meet up with family or friends during the holidays,meet,Meet
906,Where do you go and who do you visit,go,Transport
907,"I've been to your lovely state once before, down in the hollers. Yeah, a long time ago.",been,Transport
908,we go to my niece's house and,go,Transport
909,"she cooks for us. I used to do that and now she's took over, which I'm so happy.  Uh, yeah quite a few. My kids, uh, kids and their kids come, all but one of them.",come,Transport
910,"My son goes to his in-laws, but my two girls will come and",goes,Transport
911,"and then some of my sisters. I have a sister in Ohio, she usually comes in.",comes,Transport
912,and then when we moved to Alabama there wasn't a lot of family close by.  -for the holiday and it's the only holiday that we actually all get together on.,moved,Transport
913,"you know, that's it.  Anybody can come here Christmas day that wants to. You know, we don't -- my- my father-in-law-",come,Transport
914,"-well, my sister usually comes in from Ohio because it's not that far like -- two hundred fifty miles or something, and she'll come in for Thanksgiving.",comes,Transport
915,"-and she's going to have to fly back to Wisconsin, um-",fly,Transport
916,"-I went to a place ca-- I want to say it was called Stump Town,",went,Transport
917,"uh, it was a real small place. It- they w- had to go up there about some natural gas rights or something like that.",go,Transport
918,"Yeah. Yeah, you had to cross a little walking, swinging bridge to get to this man's house, you know. I didn't like that part.",get to,Transport
919,"13. War in Iraq The US is currently engaged in major fighting in Fallujah, Iraq.  Much of the country is unstable, but national elections are still scheduled to take place in Iraq in January. Do you think the US is doing the right thing in Iraq",fighting,Attack
920,"I have -- my cousin's getting ready to go over there and it just, oh, it just makes me sick. It just --",go,Transport
921,"military and, uh,  you know, it's funny because my husband was in the marines and he's all, you know,  well, you know, they're over there doing a duty. But my dad was in the army and he was in Vietnam war and he's like, this is crazy, you know. Bush is an idiot, you know.",war,Attack
922,"And, um,  I mean, I agree with my dad and, you know, if anybody should know it's someone that fought in a war, you know.",fought,Attack
923,"Exactly. Exactly, they would definitely know.  Well, you he- you hear these people saying that, I mean, that are in the mili- military you- you -- that it sa- you- some people who have come back home already and everything that they don't agree with the whole thing. I mean, it's -- that's- that's pretty --",come back,Transport
924,"And and and to me, to let people die because so your friends",die,Die
925,"You know- -- Yeah.  Yeah, I mean, and and here are these military guys giving their lives, and working hard every day through training and stuff even if there isn't a war,",war,Attack
926,"and you're paying them piss -- because I don't know if you watch the news a lot, but,  uh, like, last summer they showed military people standing on lines for, like, getting food and stuff that they don't get paid enough -- to where-",paying,Transfer-Money
927,"yeah, they're- where they're coming home from the war and they -- yeah, they're- they're pretty much homeless and- and ha- they have nothing.",war,Attack
928,"You know, you're sending these guys over there and you want them to be at peace of mind, you know, they- you want them to be able to fight, you know,",fight,Attack
929,"Yeah, and they c- the come home to nothing after g- all they've gone through they come home and they have nothing.",come,Transport
930,right -- a little bit right after the war started in Iraq there was a soldier that spoke out and he got reprimanded for it.,war,Attack
931,"uh, spoke out against the war publicly and he got reprimanded for it",war,Attack
932,"You know, and so -- I- I guess -- I would have a problem if someone was shoving something down my throat, you know,  saying, this is how it should be.  And- and that's -- and that's how we're- we are. We're going over there, we're saying,  look, this is how we do it -- and, um, i- -- so we think everybody else should be that way.",going,Transport
933,"13. War in Iraq The US is currently engaged in major fighting in Fallujah, Iraq.  Much of the country is unstable, but national elections are still scheduled to take place in Iraq in January. Do you think the US is doing the right thing in Iraq",War,Attack
934,"Do you think the elections scheduled for January will take place, and if not, then what",elections,Elect
935,"Well, I have a nephew, he just got back from Iraq.",got back,Transport
936,"He was in the army and he's going to probably be going to Afghanistan he told me.  Um,",going,Transport
937,he didn't get his papers where he's going to be c- -- he's in upstate New York right now but he's going to -- have to probably go back to- to either Iraq or Af- Afghanistan.,go back,Transport
938,"Well, that's not fair.  I- I didn't know they could send them more than once.",send,Transport
939,"started, pretty much.  That's why his father didn't want to invade Iraq, because of all these problems they're having now.  He knew that there was going to be -- look at all these insurgents. Look at what happened a couple days ago, they killed, um,  like seventy people. They -- put a bomb right into where the -- the, uh,",invade,Attack
940,"You know, I didn't en- vote for George Bush. I don't know why- how he got elected, I mean, there's a lot of people that did vote.",elected,Elect
941,"Well, but, I mean, you know, I don't see what he's doing, I mean, look all the people that are leaving his cabinet -- and their calling for, um, Run- Rumsfeld's regigna- resignation and, uh,  even John McCain, he's a Republican, he wants him -- -- he wants Rumsfeld to get out of there.",leaving,End-Position
942,has resigned,resigned,End-Position
943,"Well, yeah, and and they named another one and he resigned.",named,Start-Position
944,"gone.  Yeah, that guy Bernard, uh, the guy that was New York mayor. Or, not the mayor the New York police department chief or whatever. Eh, he quit, or he resigned. Something about,  um,  he had a legal maze or something.  Yeah, it's all -- you know, I I I don't know if we're doing the right thing because now look at Iran, what are we going to be, uh,  and he he's talking about trying to invade Iran now.",resigned,End-Position
945,"13. War in Iraq The US is currently engaged in major fighting in Fallujah, Iraq.  Much of the country is unstable, but national elections are still scheduled to take place in Iraq in January. Do you think the US is doing the right thing in Iraq",War,Attack
946,"Do you think the elections scheduled for January will take place, and if not, then what",elections,Elect
947,"Um, yeah, ok- um, eh,  uh, it was talking something about, uh,  the war in Iraq, um,  I guess, yeah, it's a good thing -- about the elections that are going on.",war,Attack
948,Right.  I just talked to somebody from ~LA a couple days ago about that on the -- survey line.,talked,Phone-Write
949,do you think the elections are going to happen,elections,Elect
950,Do you think the elections are going to happen,elections,Elect
951,"Yeah, I think the -- I think they're still they're going to go through even though, uh, even though,  um, what's it called,  that you know of all the -- turmoil that's happening there and all of the argu- you know, and all the -- killings and everything. I think it'll still go through, you know. The -- it's democracy, you know, you have to fight for it. It's not -- it doesn't come easily, you know.",killings,Die
952,"Right. Yeah, that's why I think it will, too, because they- they pushed it in Iraq.  I mean, uh, excuse me, in Afghanistan.  They kept on scheduling them and they we're saying, oh, no no no, you know.",them,Elect
953,"Um,  yeah, I think -- you know I think they should have continued to go through with it, and you know um -- if- if there is -- if there's problems, you know, just -- still -- don't, you know -- just ignore it, keep going, you know you can't -- stop, you know,if you already started something, you know, you should complete it, I think.",it,Elect
954,"I mean, if they leave -- if they leave, you know, if the- eh, let's say they, you know, they just leave right now, you know, the the -- they can't, you know, I don't think the -- the -- the occupants themselves regain control and, you know, and mo- and, you know, and -- put down the power and, you know, an- and control everything they can. They just need they, you know, they need assistance and to get off -- get off, you know, on the right step. I think they're going to need the military to be in there.  And assist them with the elections and they need to complete the elections and all this.",elections,Elect
955,Do you support the -- do you- do you support the war,war,Attack
956,Do you support the war,war,Attack
957,"Yeah. Yeah, I did at first I just- I just -- I -- don't like the way it was managed. I think -- I think, uh, they did a great job up front, of course. You know, they did militarily-wise,  they did an excellent job but I think they've done a poor job,  you know,  reconstructing and just controlling the situation. You know, they-",it,Attack
958,"Yeah, I- I agree also. Yeah, I- I mean, I- I did support the war. I just think that when they went in there, you know they -- they just didn't -- you know, they didn't i- execute everything correctly, you know there was problems, you know.",war,Attack
959,"But, they- they definitely need to take a back seat to some sort -- you know, some sort of Iraqi government there. I know they set up the council,  uh, interim council, but that hasn't gone,  you know, perfe- smoothly.  Um, they still -- Americans have been calling the shots. So, if they can just sort of make a -- be- get into more of a supportive role and,  you know, flex their muscles when they need to and maybe that will help- help,  uh,  squall some of the vi- the violence. I don't know.  Eh,  if they could've -- if they could've shored up the borders,  right after going in there, that would've been a -- that would've been a- a big plus, you know.  I don't know if that could, uh,  if that's a -- plausible goal or not because, uh, it's just that- that -- a lot of that's, you know,  uh, weapons and terrorists have been, you know, getting through the borders, probably from Syria.",set up,Start-Org
960,"At least 19 people were killed and 114 people were wounded in Tuesday's southern Philippines airport blast, officials said, but reports said the death toll could climb to 30.",killed,Die
961,"Radio station DXDC placed the death toll at 30, without giving a source for the figure, which officials could not immediately confirm.",death,Die
962,"The Davao Medical Center, a regional government hospital, recorded 19 deaths with 50 wounded. Medical evacuation workers however said the injured list was around 114, spread out at various hospitals.",deaths,Die
963,A powerful bomb tore through a waiting shed at the Davao City international airport at about 5.15 pm (0915 GMT) while another explosion hit a bus terminal at the city. There were no reports of injuries in the second blast.,tore,Attack
964,"""It's a very powerful bomb. The waiting shed literally exploded,"" said Vice Mayor Luis Bongoyan, speaking to local radio station",exploded,Attack
965,Television footage showed medical teams carting away dozens of wounded victims with fully armed troops on guard.,wounded,Injure
966,"The world's most powerful fine art auction houses, Sotheby's and Christie's, have agreed to pay 40 million dollars to settle an international price-fixing scam, Sotheby's said.",pay,Transfer-Money
967,"The payment, if approved by the courts, would settle a slew of suits by clients over auctions held between 1993 and 2000 outside the United States, it said in a statement.",payment,Transfer-Money
968,"""Under the terms of the settlement agreement, Sotheby's and Christie's will each pay 20 million dollars,"" said Sotheby's, which operates in 34 countries.",pay,Transfer-Money
969,Buyers and sellers also would have to agree not to pursue further cases in foreign courts.,pursue,Sue
970,"The litigation covers buyers in auctions outside the United States between January 1, 1993 and February 7, 2000, and sellers between September 1, 1995 and February 7, 2000.",litigation,Sue
971,Similar claims over US-based auctions were settled in an agreement struck in September 2000 for a total of 512 million dollars.,settled,Transfer-Money
972,"In December 2001, a Manhattan jury convicted Sotheby's main shareholder and former chairman Alfred Taubman of entering into a price-fixing agreement with Christie's.",convicted,Convict
973,"Four months later, the billionaire was sentenced to one year in prison and a 7.5-million-dollar fine over the price-fixing, which prosecutors said had cost clients of both firms 400 million dollars.",sentenced,Sentence
974,Christie's was not prosecuted in the United States after its management agreed to testify against Sotheby's and provide documents needed to prove fraudulent intent.,prosecuted,Charge-Indict
975,Sotheby's said it would record the 20-million-dollar settlement as a special charge for 2002. It would be funded in two payments of 10 million dollars each upon preliminary and final court approval.,settlement,Transfer-Money
976,"Media tycoon Barry Diller on Wednesday quit as chief of Vivendi Universal Entertainment, the entertainment unit of French giant Vivendi Universal whose future appears up for grabs.",quit,End-Position
977,"In a statement, Diller -- who took on the ""provisional"" role at the top of Vivendi's US entertainment operations in December -- said his USA Interactive group will nonetheless remain a shareholder of Vivendi Universal Entertainment.",took on,Start-Position
978,"As part of the 11-billion-dollar sale of USA Interactive's film and television operations to the French media company in December 2001, USA Interactive received 2.5 billion dollars in preferred shares in Vivendi Universal Entertainment.",sale,Transfer-Ownership
979,"In Paris, the French media group said parent company chairman Jean-Rene Fourtou will replace Diller as chairman and chief executive of US unit.",replace,Start-Position
980,"Vivendi, in a statement, said that Diller had, ""in full agreement with Vivendi Universal,"" announced that he was ""ending his temporary assignment as CEO of Vivendi Universal Entertainment.""",ending,End-Position
981,"Vivendi Universal, the world's second-largest media group after AOL Time Warner of the United States, has been digging out from under a mountain of debt since the removal of expansionist boss Jean-Marie Messier last July, largely through asset sales.",removal,End-Position
982,"Speculation has been rife that troubled Vivendi has been weighing a spinoff or sale of its US film, television and theme park operations as part of its restructuring.",sale,Transfer-Ownership
983,"Some 70 people were arrested Saturday as demonstrators clashed with police at the end of a major peace rally here, as at least 200,000 anti-war protesters took to the streets across the United States and Canada.",arrested,Arrest-Jail
984,"For the most part the marches went off peacefully, but in New York a small group of protesters were arrested after they refused to go home at the end of their rally, police sources said.",arrested,Arrest-Jail
985,"Several police officers were treated for the effects of gas after the ensuing clashes -- a result, police said, of the demonstrators using self-defence devices.",clashes,Attack
986,"Organisers claimed that some 250,000 people attended the rally, creating a human column some three kilometres (1.8 miles) long. Police put the attandance at around 125,000.",rally,Demonstrate
987,"The city assigned 2,000 police officers to the rally, including undercover officers who carried beeper-sized radiation detectors and other counter-terrorism equipment.",rally,Demonstrate
988,"Though opinion polls have shown public support for the war rising in the United States, opposition to military intervention in Iraq has given rise to an impassioned campaign.",war,Attack
989,"Among the sea of banners making its way up Broadway were many signs poking fun at President George W. Bush. ""Somewhere in Texas, a village is missing an idiot,"" said one sign. ""Iraq war: An unelected extremist vs. an unelected extremist,"" and ""Take the toys away from junior.""",war,Attack
990,"One woman marched topless with the words ""shock and awe"" daubed across her back in red ink, a reference to the bombing campaign unleashed Friday on Baghdad.",marched,Demonstrate
991,"Liana Owen drove 10 hours from Pennsylvania to attend the rally in Manhattan with her parents. ""It's important that people all over the world know that we don't believe in the war,"" she said.",rally,Demonstrate
992,"Several thousand demonstrators also gathered outside the White House in Washington, accompanied by a major security presence.",gathered,Demonstrate
993,"Some of the slogans sought to rebut war supporters' arguments that the protests are unpatriotic. ""We support our troops -- bring them home",protests,Demonstrate
994,"One group, Lesbians Against Boys Invading Anything, carried signs saying ""Pre-emptive war is terrorism,"" ""This isn't the USA I love,"" and ""Where Will the Bombs Fall Next",war,Attack
995,"Up to 20,000 protesters thronged the plazas and streets of San Francisco, where more than 1,600 people were arrested in the past two days in a civil disobedience campaign.",campaign,Demonstrate
996,"Between 2,500 and 3,000 people picketed the CNN studios in Los Angeles while others at the Atlanta headquarters protested the cable network's coverage of the war for being biased toward the United States.",picketed,Demonstrate
997,"""They make this look like a John Wayne movie,"" said protester Elvis Woods. ""You watch CNN and all you get are explosions and video of tanks and guns. Nobody questions whether this is right or not.""",this,Attack
998,"Counter-demonstrations in support of the US-led invasion of Iraq took place in some cities, with some 2,500 people turning out in Chicago. Flying the US flag and reciting the pledge of allegiance, they outnumbered their anti-war counterparts by three to one.",war,Attack
999,"Passions ran deep on both sides, but a line of police in riot gear kept them apart. Carrying signs that said, ""It's the oil, stupid,"" and ""Real men don't bomb children,"" the anti-war protesters waved blue Earth flags.",war,Attack
1000,"""I agree Saddam is crazy and needs to go, but it's not our place to do it,"" said Ian Wisniewski, 14, who had a fake bullet hole painted on his forehead. ""It's crazy that we're bombing Iraq. It sickens me.""",bombing,Attack
1001,"A few yards away, Claire Tortorello, 54, pointed and yelled at the protesters across the plaza. Holding a framed picture of her son, serving with the Army's 3rd Infantry Division in Iraq, she said she didn't know whether he was dead or alive.",dead,Die
1002,"""I'm here to support him and others who are fighting for their country. They wouldn't be here if it weren't for the freedoms that others fought for,"" she said.",fighting,Attack
1003,"Anti-war protests took place around the world Saturday after the start of the bombing of Baghdad. Hundreds of thousands of demonstrators took to the streets in Britain, Spain and Italy, whose governments approved of the war.",war,Attack
1004,"In Montreal, ""Stop the War,"" a coalition of more than 190 groups, said as many as 200,000 people turned out, though police refused to give a figure.",War,Attack
1005,"Protesters also gathered in their thousands in Halifax, Calgary, Edmonton and Vancouver.",gathered,Demonstrate
1006,"Organizers of the civil disobedience campaigns promised to block intersections and bridges, shackle themselves to lampposts and create human cordons to snarl traffic, as long as the war continues.",war,Attack
1007,"Some 3,000 people have been arrested since the disobedience campaigns began last week.",arrested,Arrest-Jail
1008,"Indonesia will delay the execution of six convicts including an Indian on death row after five of them appealed to the Supreme Court for a second review, prosecutors said Thursday.",appealed,Appeal
1009,"""If we execute them now we can't bring them to life again should their appeals for a review be granted,"" said Antasari Azhar, spokesman for the attorney general's office.",execute,Execute
1010,The Supreme Court rejected earlier appeals for a case review from five of the convicts. The sixth offender has only made one appeal for a review.,appeals,Appeal
1011,"President Megawati Sukarnoputri has refused clemency for the six and asked for a speedy execution. Five of them are Indonesians convicted of murders while the other is an Indian drug offender, Ayodhya Prasad Chaubey.",convicted,Convict
1012,"""We are talking about someone's life or death so we have to be very careful,"" Azhar said.",death,Die
1013,A convict can file a case review or appeal for presidential clemency only after the Supreme Court upholds a sentence imposed by a lower court.,appeal,Appeal
1014,"Apart from those convicted of murder, 16 people are on death row for drug trafficking -- 11 foreigners, four Indonesians and a Dutch citizen of Chinese-Indonesian origin.",convicted,Convict
1015,"Indonesian courts have increasingly handed out severe sentences, including death, for drug smugglers. Narcotics abuse is an increasingly serious problem in the country.",sentences,Sentence
1016,"Amnesty International has appealed to Indonesia to spare the lives of convicted drug offenders and others, saying there was no proof the death penalty deters would-be traffickers more effectively than other punishments.",convicted,Convict
1017,Amnesty opposes the death penalty for any crime.,death,Die
1018,"Use of the death penalty is rare in Indonesia, where the last execution was carried out in May 2001 of two men convicted of a murder in 1989. It was the first execution for five years.",convicted,Convict
1019,A police firing squad enforces the penalty.,firing,Attack
1020,"Some 2,500 mainly university students formed a human chain in Japanese characters spelling out ""No War"" in Osaka on Sunday to protest against the ongoing US-led military campaign in Iraq.",campaign,Attack
1021,"""We cannot forgive this war,"" Miyako Fuji, 20, one of the rally's organisers told Jiji news agency. ""I want to join together the feelings of each of us as individuals who oppose the war.""",war,Attack
1022,The protest follows a string of others involving tens of thousands of peace activists across Japan since January.,protest,Demonstrate
1023,"According to a poll by Kyodo news agency released Saturday, 78 of 100 people surveyed opposed the military action in Iraq.",action,Attack
1024,"A separate poll of 1,846 adults by the leading Yomiuri newspaper published Tuesday showed 64 percent felt Japan had ""no choice"" but to back the United States, with only 12 percent saying Japan had ""every reason"" to back the war.",war,Attack
1025,"Russian President Vladimir Putin's summit with the leaders of Germany and France may have been a failure that proves there can be no long-term ""peace camp"" alliance following the end of war in Iraq, government sources were quoted as saying at the weekend.",summit,Meet
1026,"The comments indicate that Russia's nuanced position over the war in Iraq was becoming ever more scrambled, with Putin pushing to protect his budding friendship with US President George W. Bush in the face of strident opposition from the Russian media and other top Kremlin officials.",war,Attack
1027,"Analysts have long argued that Putin is far keener to preserve friendly relations with the United States than the pro-European, anti-war camps embedded in much of the Russian media and the foreign and defense ministries.",war,Attack
1028,"Kommersant business daily joined in, declaring in a furious front-page headline: ""The United States is demanding that Russia, France and Germany pay for the Iraqi war.""",war,Attack
1029,Putin concluded his two days of talks in Saint Petersburg with Jacques Chirac of France and German Chancellor Gerhard Schroeder on Saturday still urging for a central role for the United Nations in a post-war revival of Iraq.,war,Attack
1030,The call reflected the insistent demand made by the three leaders before the US-British invasion of Iraq that UN approval was essential for any mission to topple Iraqi President Saddam Hussein.,invasion,Attack
1031,But the Saint Petersburg summit ended without any formal declaration on Iraq.,summit,Meet
1032,"Putin had even secretly invited British Prime Minister Tony Blair, Bush's staunchest backer in the war on Iraq, to attend the pow-wow in Saint Petersburg's Grand Hotel Europe, although diplomats said Blair turned the offer down.",pow-wow,Meet
1033,It remains to be seen how successful Putin's overtures to Washington will be in the face of the fervent internal hostility to the US war stance.,war,Attack
1034,"At least three members of a family in Indias northeastern state of Tripura were hacked to death by a tribal mob for allegedly practicing witchcraft, police said Thursday.",hacked,Attack
1035,"A spokesman said a group of 25 to 30 armed men Wednesday attacked a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala.",attacked,Attack
1036,"""The mob dragged out three members of a family and (killed) them with machetes and spears before fleeing the area,"" the spokesman said by telephone from Agartala.",killed,Attack
1037,"""It was believed Naotia was a practicing sorcerer and through his black magic he had cast evil spells on villagers, prompting a group within the village to eliminate them,"" the spokesman said.",eliminate,Die
1038,Police have arrested four people in connection with the killings.,arrested,Arrest-Jail
1039,Silence is golden -- especially when your hand is weak -- top Moscow policy analysts said in an assessment of the fallout from Russia's vocal opposition to what turned out to be a swift US-led campaign in Iraq.,campaign,Attack
1040,Several top diplomacy experts told a Kremlin-run forum that countries like China and India that said little about the conflict before its March 20 launch were already reaping the benefits.,conflict,Attack
1041,One analyst said China -- which like Russia and France wields a UN Security Council veto but never threatened to use it to prevent the war -- recently won its role as chief mediator between the United States and North Korea because other regional powers' confidence in Russia fell as a result of its Iraqi diplomacy.,war,Attack
1042,Negotiations between Washington and Pyongyang on their nuclear dispute have been set for April 23 in Bejing and are widely seen here as a blow to Moscow efforts to stamp authority on the region by organizing such a meeting.,Negotiations,Meet
1043,French President Jacques Chirac received only a reserved response when he tried to mend fences by placing a telephone call Tuesday to Bush.,call,Phone-Write
1044,Meanwhile German Chancellor Gerhard Schroeder has not spoken to Bush since several weeks before the start of the war.,war,Attack
1045,"""Our analysis of foreign policy is lacking and often reverts to Cold War stereotypes,"" said former deputy foreign minister Anatoly Adamishin.",War,Attack
1046,"""We were so proud of forming an antiwar bloc with France and Germany -- but nations have not been forming such blocs for at least 12 years and someone in Moscow should have understood that it was impossible to avert this war.""",war,Attack
1047,US diplomats have hinted in recent weeks that Washington's anger with European resistance to the campaign was focused more on Paris -- and to a lesser extent Berlin -- than it was with Moscow.,campaign,Attack
1048,Putin last spoke to Bush on April 5 at the US president's own initiative. They are scheduled to meet next in the Russian leader's native city of Saint Petersburg in late May.,meet,Meet
1049,"""We lost nothing and won nothing -- this was not our war,"" said liberal lawmaker Irina Khakamada of the Union of Rightist Forces.",this,Attack
1050,Most analysts linked Russia's opposition to a war in Iraq to fears that it will lose oil contracts that were sealed with the now-toppled regime of Saddam Hussein.,war,Attack
1051,Putin will face re-election in March 2004 and analysts noted that the war -- while opposed by most Russians -- was never turned by the Kremlin into a matter of national security.,war,Attack
1052,"""I do not think that this will affect the elections unless Russia's failure in Iraq is presented as an issue of national security -- and has not been yet,"" said Viktor Kuvaldin of a research center funded by former Soviet president Mikhail Gorbachev.",elections,Elect
1053,Malaysia's Appeal Court Friday refused to overturn the conviction and nine-year jail sentence imposed on ex-deputy prime minister Anwar Ibrahim for sodomy.,conviction,Convict
1054,"Anwar, 56, who this week completed four years in prison on a corruption charge, now faces an earliest possible release date of April 14, 2009 if he is given one third remission of his sentence for good behaviour.",charge,Charge-Indict
1055,"The former heir-apparent to Prime Minister Mahathir Mohamad, who says he was framed for political reasons, told reporters after his appeal was rejected: ""You must remember its pre-selected judges, most junior of the court of appeal, and its all scripted.",appeal,Appeal
1056,"Mahathir's sacking of the charismatic and popular Anwar in September 1998 rocked Malaysian politics, with thousands of people taking to the streets to demonstrate their support for him.",sacking,End-Position
1057,Within weeks he was arrested and charged with sodomising an official driver several years previously and with abusing his powers to cover up the offence.,arrested,Arrest-Jail
1058,The conduct of the trials was widely criticised internationally and the United States still lists Anwar as a political prisoner.,trials,Trial-Hearing
1059,"Anwar was told Monday that he had been granted a standard one-third remission of a six-year corruption sentence for good behaviour, and immediately began to serve the nine-year sentence for sodomy.",sentence,Sentence
1060,"Best-selling novelist and ""Jurassic Park"" creator Michael Crichton has agreed to pay his fourth wife 31 million dollars as part of their divorce settlement, court documents showed Friday.",pay,Transfer-Money
1061,"Before the divorce, Crichton's fortune was estimated at 65 million dollars, built on such hit novels as ""The Andromeda Strain,"" ""The Great American Train Robbery"" and ""Westworld"" and his hit television series ""ER.""",divorce,Divorce
1062,Anne-Marie sued Crichton for divorce in September after their marriage broke down.,divorce,Divorce
1063,"US sources with authoritative knowledge of the Beijing meetings said the head of the North Korean delegation Li Gun had confirmed to US envoy James Kelly that the Stalinist state had developed nuclear weapons and hinted it may sell or use them, depending on US actions.",use,Attack
1064,"Kelly, the US assistant secretary for East Asia and Pacific Affairs, arrived in Seoul from Beijing Friday to brief Yoon, the foreign minister.",brief,Meet
1065,"Kelly, who declined to talks to reporters here, travels to Tokyo Sunday for talks with Japanese officials. He has made no public comments so far on the Beijing talks.",travels,Transport
1066,"A Pakistani court in central Punjab province has sentenced a Christian man to life imprisonment for a blasphemy conviction, police said Sunday.",sentenced,Sentence
1067,"Judge Shahid Rafiq, of the district court in the industrial city of Faisalabad, found Ranjha Masih guilty of defiling Koranic verses during a protest rally by the minority Christian community in 1998.",guilty,Convict
